,Unnamed: 0,original,duplicate
0,0,229805,"{74054: 0.989850022608001, 74238: 0.9881488583353513, 12730: 0.9878416459853382, '224096': 0.9878087861916235, 30847: 0.9877358345253152, 14632: 0.9877139664250889, 6149: 0.9875690859773115, 67638: 0.9875520736641442, 3750: 0.9872528581435982, 21016: 0.9872385305385151}"
1,1,229882,"{53173: 0.9732190434807456, 4156: 0.9715860912692725, 57327: 0.9704114666270404, 40601: 0.9699799668807688, 18827: 0.9698295105650542, '228401': 0.9695223221792632, 48957: 0.9688975832659384, 53285: 0.968307680136744, 37634: 0.967725270203518, 40618: 0.9677023028808103}"
2,2,229903,"{23607: 0.9654769762876805, '113135': 0.965397773033415, 41508: 0.9650945760900533, 42121: 0.9641800350786601, 267: 0.9639445960603874, 6935: 0.9626762862112883, 6933: 0.9626123760078485, 76050: 0.9624052281715941, 34218: 0.9620785229320205, 20859: 0.9620346763128058}"
3,3,229993,"{2: 0.9676473204647104, 86: 0.955832912856184, 284: 0.9509706986883275, 1948: 0.9493508537813447, 849: 0.948208748245306, 238: 0.947539832009418, 1978: 0.9453822474811352, 39297: 0.9449284090745237, '229612': 0.9448913377803136, 1955: 0.9443980070492825}"
4,4,230004,"{49704: 0.9790969462880541, 7591: 0.9776942005002105, 35917: 0.9764073971240343, 20912: 0.9763909712908662, 28869: 0.9763394908867862, 59017: 0.9751967964385531, '139682': 0.9750006223781487, 52874: 0.9749810464891968, 16651: 0.9749533534063576, 27116: 0.9749044880050258}"
5,5,230027,"{6041: 0.9710644346837386, 5: 0.9703860162238918, 49259: 0.9661354691114145, 17: 0.9654370047340409, 30950: 0.9653193127212627, '201714': 0.9649724588294111, 5084: 0.9647409940600261, 3850: 0.9642769360439284, 1603: 0.9640606399726539, 46565: 0.9637266898838266}"
6,6,230045,"{113: 0.9637755270617725, 991: 0.9613535033714614, '229916': 0.9611051228297064, 51864: 0.9605203324226163, 60543: 0.9580682133480765, 5084: 0.9577713099028953, 76729: 0.9571900554994637, 238: 0.9571622969877631, 75233: 0.9565591114141898, 38111: 0.9565428728233312}"
7,7,230048,"{'196036': 0.9801990442595464, 8406: 0.9790228681760766, 50060: 0.9788881688148837, 3241: 0.978859939906269, 63282: 0.97875908188487, 48575: 0.9781958453822851, 12377: 0.9781692093524655, 9329: 0.9770960522772688, 81685: 0.9769911289361335, 82696: 0.9769679870912562}"
8,8,230294,"{46447: 0.9863662769015634, 72675: 0.9855448952229967, 48766: 0.9849173082823285, 33410: 0.984827785918526, 34422: 0.9834615512525364, 57257: 0.9833560833881093, '228405': 0.9833496866892975, 12651: 0.9831992232154024, 39839: 0.9830472070004486, 66679: 0.9830328681418202}"
9,9,230307,"{33560: 0.9853048645298761, 84890: 0.9845215251662707, 57699: 0.98434420225504, '76873': 0.9841454261022056, 70104: 0.9840868173601406, 58795: 0.9839272885019154, 11080: 0.9837263151882517, 40186: 0.9837132684603904, 51173: 0.9836495929629637, 65221: 0.9836314727145218}"
10,10,230334,"{49259: 0.9610154872133873, 8: 0.9607643791469522, 23607: 0.9602012547125558, 1228: 0.9600096811409723, 561: 0.9592540203703155, 1978: 0.9590960990982511, 73394: 0.9588765771814649, 86: 0.958826332284282, 7: 0.95836712731689, '219165': 0.9579819329858196}"
11,11,230423,"{248: 0.9612555419304916, 9071: 0.9602279630221966, '199499': 0.9590413927213297, 9371: 0.9587246452010839, 16798: 0.9584429983285031, 70243: 0.9584110439313497, 33082: 0.9581522664538428, 30551: 0.9581436657679462, 47997: 0.9579937585748411, 21416: 0.9579421112161132}"
12,12,230446,"{39025: 0.9576489292019689, 49259: 0.9570506055788813, 22094: 0.9564510829681087, 45886: 0.9554291035098474, 284: 0.9553153971363071, 26232: 0.9546276858057818, 19332: 0.9544878266167907, 10006: 0.9544421874703665, '225867': 0.9540938663441076, 1592: 0.9536064112955361}"
13,13,230854,"{'190740': 0.9688268452077466, 14509: 0.9659310488477395, 26981: 0.9655002727450969, 46201: 0.9648587883700037, 45255: 0.9648497854788787, 39981: 0.964550896146026, 55: 0.9644072579687026, 29047: 0.964303861970278, 40659: 0.9641854022425914, 43203: 0.9639340776140431}"
14,14,230865,"{11309: 0.9732603886919582, 5467: 0.9724424569248502, 23607: 0.9702415393134032, 113: 0.9702287050716083, 5122: 0.969047790661547, '194935': 0.9688982128492474, 58062: 0.9682703665134467, 16405: 0.9682546057712074, 69094: 0.9678922643903445, 8794: 0.9673048405234101}"
15,15,230888,"{81122: 0.9603330960938041, 39297: 0.9601989548860507, 2215: 0.9600164803634648, 38470: 0.9597403801047744, 16902: 0.9596788658477825, 27835: 0.9593668291425733, 23607: 0.959069107344651, '150591': 0.9589906399022898, 84764: 0.9584515934301546, 24652: 0.9577305573391538}"
16,16,230940,"{21353: 0.9844897983509081, 34773: 0.9843153960987121, 19034: 0.9841889261210628, 77199: 0.98392650240067, 43203: 0.9839158936852825, 67145: 0.983794377619769, 37661: 0.9837150783427213, 43552: 0.983688767853223, '230470': 0.9835059194491258, 69542: 0.9834801704740109}"
17,17,231132,"{128: 0.9868847344592391, 48539: 0.9856969967450455, 5467: 0.9844891286577949, 5220: 0.9844525338576688, 6704: 0.9838934384678919, 8777: 0.9838449462994335, 5379: 0.9836939440043916, '200364': 0.9836579395731299, 5122: 0.9836229856968814, 49645: 0.9835978280731728}"
18,18,231137,"{'60717': 0.9688805938491114, 5467: 0.96643465867652, 4014: 0.9646848479144828, 5150: 0.9645523741444434, 48629: 0.964159167979069, 5748: 0.9636719355247362, 12347: 0.9623226325490645, 5220: 0.9617530085558128, 44086: 0.9612789792975478, 128: 0.9612283357831812}"
19,19,231160,"{212: 0.9352539648994526, 16063: 0.9352355666230187, 11: 0.935217226384579, 86: 0.9344060242400593, 15: 0.9340830694200646, 561: 0.9338821522927574, 14694: 0.933720557258181, 113: 0.9313565028715499, 60488: 0.9311937708203323, '185321': 0.9311805750811684}"
20,20,231215,"{18827: 0.9765801997989354, 4139: 0.9762882957310868, 24441: 0.9760822095824215, '224360': 0.9758137292801013, 21016: 0.9754981598159207, 69854: 0.9754353378614331, 12578: 0.9752374131111191, 644: 0.9751133182965057, 75807: 0.9748461756296848, 20805: 0.9747564876853064}"
21,21,231236,"{51159: 0.9628203766852637, 50433: 0.9615831391453986, 11555: 0.9615300941949542, 41174: 0.9613683136770282, 9976: 0.9611291970211835, 5855: 0.9610478511337088, 71448: 0.9608665569793687, '54753': 0.9598086672121801, 16461: 0.959782240907588, 80293: 0.9597790087979506}"
22,22,231254,"{23607: 0.9744323178218212, 113: 0.9707639850528934, 64436: 0.9707479093111518, 24431: 0.9700694152085004, 11080: 0.9698960898645742, 44245: 0.9696317989939032, 23727: 0.9696119026152831, '228971': 0.969560581536658, 8794: 0.9694420843997158, 2126: 0.9693985313806213}"
23,23,231264,"{5320: 0.9535228567182614, 52124: 0.9525030956277513, 15442: 0.9509081463196032, 25684: 0.9504406836651599, 60494: 0.9502552167564875, 25686: 0.9478453258160228, 16241: 0.9474446136626131, 14213: 0.9471138225924731, 10282: 0.9466699435979282, '199973': 0.9459918347321359}"
24,24,231600,"{1586: 0.9485143350926393, 11555: 0.9436592378099377, 2224: 0.9428484215187969, 48422: 0.942159116832111, '102766': 0.9412908332456063, 2417: 0.9395256155364161, 21676: 0.9391572431288626, 84326: 0.939077757457813, 11561: 0.9387562251790236, 20312: 0.937542907312948}"
25,25,231638,"{18976: 0.9664477024445547, 14215: 0.9663285935444139, 15442: 0.965704825845407, 69806: 0.9655464022105973, 6218: 0.9655152740645825, 23607: 0.9644665995106751, 9005: 0.9644398804457004, 51687: 0.9639709608238927, '157506': 0.9635896640129556, 52402: 0.9635320068257354}"
26,26,231682,"{32392: 0.9607672519696194, 23939: 0.9599004152491254, 14846: 0.9595606996157875, 81776: 0.9593222244297357, 24441: 0.9589763845054724, 4454: 0.9587088325906745, 38395: 0.9586389496295041, 5194: 0.9585196246465166, '227193': 0.9584607560454492, 19675: 0.9581027595418441}"
27,27,231794,"{23430: 0.958144249777396, 10169: 0.950731145180093, 16063: 0.9486918558676708, '212020': 0.9475839081763562, 229: 0.9473005190814752, 51844: 0.9468345802166833, 60449: 0.9465890100921154, 15369: 0.9452955791551116, 49954: 0.9451551110899936, 73745: 0.9451293506548715}"
28,28,231886,"{113: 0.9495515913146889, 14731: 0.9495262492634313, 71807: 0.9494651268889451, '230449': 0.9490180415535068, 78835: 0.9482289056965909, 17711: 0.9480680122406586, 37471: 0.9478627475997995, 1646: 0.9478499851356378, 74570: 0.947837973723175, 17723: 0.9476763494158978}"
29,29,232029,"{31537: 0.9738715132770012, 16798: 0.9723670507258987, 25764: 0.972294238594622, 28409: 0.971761263293801, 61586: 0.9710225394685817, 64859: 0.9706728933652773, '231352': 0.9703916150260494, 9493: 0.9689710994417985, 37471: 0.9684430142264118, 44195: 0.9683329764717123}"
