,Unnamed: 0,original,duplicate
0,0,229805,"{229805: 95.17248622401658, 268334: 23.588702990104917, 229782: 21.741556544732735, 268863: 20.819707456868723, 44716: 18.71518758487633, 145425: 18.660155764870193, '228508': 18.594310154824896, 151222: 17.811822601211848, 136802: 17.73372719693624, 229789: 17.722290625340328}"
1,1,229882,"{229882: 129.17467111034256, 227421: 30.09987508322131, 224899: 27.08867784027342, 231014: 26.345582932811254, 225786: 26.255672061194044, 225859: 26.155953631666648, 230420: 26.059326995198113, 225208: 25.96356187541202, '224314': 25.93315702153073, 228120: 25.689617330152263}"
2,2,229903,"{229903: 225.20938954533725, 205745: 109.64231269724847, 159978: 83.12545274302668, 140271: 72.08636936070575, 295980: 67.23386508427079, 123769: 62.46696880463917, '113135': 57.84325152494609, 138062: 56.585853854290995, 294191: 51.24167767921021, 324845: 50.210427850107926}"
3,3,229993,"{229993: 308.9041788078467, 272913: 302.6609212542828, 229612: 95.10999772011652, 129841: 87.49149443842241, 163324: 70.68026056075092, 62360: 66.52814219635114, '229612': 56.324938037921676, 230956: 56.04999408250632, 139745: 55.26260386277912, 229136: 55.05398365486236}"
4,4,230004,"{230004: 153.15654790656822, '139682': 45.8341010844266, 79350: 43.11778724602411, 274984: 41.14521704415195, 122671: 39.460463905678836, 384965: 38.21336469634638, 17815: 36.467559257329135, 167738: 35.529416625830585, 23981: 34.65918008561347, 108480: 33.61520314248349}"
5,5,230027,"{230027: 118.50055473325241, 111206: 32.27414837172403, 204578: 31.74369829375948, 62229: 30.634202924012325, 248670: 30.41132983561671, 163739: 30.3173571244801, '201756': 29.91204801794114, 126538: 29.419053122096024, 48094: 29.14024704020428, 97806: 29.055994689058938}"
6,6,230045,"{230045: 223.86900881401525, 304188: 44.45634528144074, 229916: 42.70487098254762, '229916': 35.10375164318657, 233467: 33.71536416022752, 171778: 32.231004163683615, 322798: 32.08810582285976, 221378: 31.944957060807916, 108626: 30.69134233761792, 51437: 30.328678632444763}"
7,7,230048,"{230048: 164.3501740423746, 250804: 82.69355728013517, 184475: 76.47799066354776, 258316: 69.09250746399366, 212020: 66.74635910395692, 231794: 53.78283713374615, 196036: 53.75312974419018, '203461': 53.35061781543988, 203461: 48.0816181530857, 225519: 47.68457455703127}"
8,8,230294,"{230294: 75.33888466879861, 242300: 25.844760748363647, 41040: 24.516783751473763, 43736: 24.42325936081607, 164316: 24.280632101698863, 44180: 24.23929483022619, 59585: 23.5953495446109, 38827: 23.297357310236137, '228717': 23.114477738937868, 66631: 22.90865302049594}"
9,9,230307,"{230307: 64.58650605085253, 76873: 30.79987839939337, 106406: 21.734879401614357, 136476: 20.31209445026775, 273690: 18.027639774371796, 67089: 17.95703020189444, 10932: 17.91194873270971, 67076: 17.851458293262624, 139029: 17.13135028630051, '76873': 16.75712026390071}"
