,Unnamed: 0,original,duplicate
0,0,647793,"{647793: 123.45419453764737, 296124: 53.228161530329295, 650458: 53.04662772715663, 628934: 52.91922123623804, 732935: 52.147426913807315, 654029: 51.484561667090254, 664980: 51.39774223336445, 655471: 51.13954151523107, 485978: 50.99516762321212, 648221: 50.80449133700388, 72102: 0.9851190439351728, 1: 0.9849578732664331, 34255: 0.984849156749518, 33701: 0.9830705965822573, 99261: 0.9825649309107125, '642330': 0.9822579377403021, 104482: 0.9806868227710209, 111287: 0.9803711016529718, 104886: 0.9803623327018945, 17561: 0.9802986779924662}"
1,1,647874,"{647874: 125.37650803213629, 647677: 66.24256829869255, 492743: 65.14727417007643, 506498: 63.45354070124822, 477478: 63.21566489480813, 645020: 62.88271994315524, 642357: 62.354513218939815, 261908: 62.252390611068016, '637299': 62.23141297970536, 630152: 61.82538997377436, 3: 0.9793960833340178, 891: 0.9751059212393306, 10029: 0.9735101368729663, 46720: 0.9729480707758067, 92930: 0.9726802742887756, 100684: 0.9721753197737092, 10030: 0.9716722240384899, 104386: 0.9713844914075794, 10026: 0.970779190806499, 10025: 0.9707104040909943}"
2,2,647921,"{647921: 138.2071957687618, 645470: 60.87957603230502, 644923: 58.9984027010962, 407591: 57.03709946066048, 638422: 54.36634444664284, 309171: 53.11165366321696, 644926: 53.013565064691264, 362013: 51.34720150556202, 271430: 51.11994842801804, 406077: 51.094657997829884, 4: 0.9815465770489713, '643151': 0.9759722039796246, 6541: 0.97494506423854, 103675: 0.9743370363387915, 96886: 0.9739218298500691, 33700: 0.9738733776074714, 32133: 0.9736220213418749, 25026: 0.9725913288078647, 23319: 0.9722228829870968, 18550: 0.9717837526857512}"
3,3,647943,"{647943: 146.4449701180958, 779877: 61.62261909435788, 612941: 59.01196459338558, 409307: 58.694653112274636, 418978: 57.357454343231275, '411149': 57.21641205689029, 434468: 56.956915651854544, 442306: 56.66148707446879, 442531: 56.632863526002, 252437: 56.450657521585086, 112566: 0.977379196198011, 101787: 0.9759817815713998, 78581: 0.9755566978277681, 13766: 0.975002054630029, 85389: 0.9749702024799793, 58318: 0.9749241297415778, 58319: 0.9742356130751345, 101008: 0.9740857905530584, 13767: 0.9739326036182666, 99926: 0.9736333908922188}"
4,4,647963,"{647963: 118.63544239439737, 644979: 60.42131075151556, '639517': 55.54998779400632, 635583: 55.37037086921666, 636938: 53.878518809999264, 648777: 53.6640478091988, 451357: 52.71571472788799, 546036: 51.59910253760378, 576534: 51.29781556948375, 422593: 51.26309403620973, 53925: 0.9773885489264313, 112663: 0.9770713567423857, 84183: 0.9770258141232541, 42323: 0.9769165134549017, 9471: 0.9767499601840124, 83759: 0.9766353858425854, 94466: 0.9764607856913591, 105455: 0.9763930731443472, 87903: 0.9763572741934337, 84984: 0.9763424516711532}"
5,5,647969,"{647969: 123.08324161381638, 314188: 48.46959536052138, 644193: 47.6359369670115, 647716: 47.60357969403352, '647113': 47.428343962188436, 650654: 47.34410655628421, 322803: 47.26310637153668, 237706: 46.89243257616954, 330401: 46.67992472309306, 458470: 46.407954812569514, 109485: 0.9770899372348504, 100194: 0.9754940030683847, 111347: 0.9737547456470182, 89618: 0.9736617242678572, 114495: 0.9732886983088043, 16262: 0.9732471233830836, 20465: 0.9727403801387974, 44973: 0.9724920468898093, 98190: 0.9724803407206138, 49984: 0.9722342618342588}"
6,6,647992,"{647992: 66.29638232696351, 461338: 48.78067634442329, 667276: 48.58656054184804, 453625: 48.09775130078545, 246003: 47.98747460859515, 594831: 47.81269662106532, 401882: 47.41751075325281, 269204: 47.306353021180875, 594447: 46.77279574771948, '644173': 46.66210713816166, 110868: 0.9874178465644173, 102060: 0.9865381789728686, 101293: 0.9856009082093994, 99742: 0.9852508520145086, 108926: 0.985164142312081, 85070: 0.9849714436659223, 75568: 0.9849643314369548, 46372: 0.9849451926522584, 97657: 0.9843964266413612, 43041: 0.9842987599475352}"
7,7,647999,"{647999: 210.72035344200592, 246372: 60.15514488802088, '612620': 59.77577077072267, 647808: 58.830168926352854, 575260: 58.65047323144449, 626652: 58.03656739629341, 358179: 57.67175061184662, 213202: 57.12831465632155, 270530: 57.100601210899285, 306126: 56.58328906872254, 32734: 0.9667584246132271, 68536: 0.9658189876779226, 25449: 0.9648225256861613, 41754: 0.9631071445031386, 31686: 0.9630773727555935, 31067: 0.9627945098697179, 69874: 0.9626308247173007, 28776: 0.9626121533837799, 44564: 0.9625132617133108, 33790: 0.9625070958882498}"
8,8,648042,"{648042: 183.5283029682119, 497792: 71.88485248149492, 331362: 71.01666555438611, 383058: 67.62222878528031, 263280: 67.45625746205758, 493288: 66.72346792333663, 831143: 66.52184691059631, 284985: 66.20163444383653, 689697: 66.09599752781425, 807291: 65.98524963774156, 16848: 0.967799512203687, 97946: 0.9675814399115434, 36836: 0.9672869450261061, 10466: 0.9672005987759101, 16833: 0.966951255980621, 51912: 0.9633084894476522, 11900: 0.9623515629206846, '625776': 0.9622699701721596, 83873: 0.9622424231757182, 109468: 0.961858213520054}"
9,9,648189,"{648189: 343.7315281945108, 649411: 262.9422389608673, 647113: 259.3685669607715, 595690: 225.49916776055323, 558082: 222.80544781485813, 476492: 214.4505015005922, 581142: 209.00775667987037, 439736: 202.93668401948221, 550073: 197.90331900641294, 418826: 195.66992096058192, 23477: 0.9439726066520846, 4354: 0.9423494273129531, 48790: 0.9404888151331081, '644146': 0.939804011189171, 112481: 0.9387608137962596, 763: 0.9387429037993248, 100976: 0.9379973227427707, 19559: 0.9366203729641756, 65864: 0.9366171187974544, 101575: 0.936610607396692}"
